i;date;currency;open;high;low;close;volume
123;2023-11-16 05:00:00;AAPL;188.2500;188.2900;188.1700;188.2800;4120
124;2023-11-16 04:45:00;AAPL;188.4300;188.4300;188.2200;188.2500;2348
125;2023-11-16 04:30:00;AAPL;188.4600;188.5500;188.3700;188.4300;3156
126;2023-11-16 04:15:00;AAPL;188.4200;188.6300;188.4200;188.4600;4961
127;2023-11-16 04:00:00;AAPL;188.7700;188.7700;188.1800;188.4200;6148
128;2023-11-15 19:45:00;AAPL;188.8100;188.9000;188.6300;188.7000;9051
129;2023-11-15 19:30:00;AAPL;188.8100;189.0000;188.0100;188.8500;15674
130;2023-11-15 19:15:00;AAPL;188.6900;189.0000;188.6900;188.8000;18802
131;2023-11-15 19:00:00;AAPL;188.9200;189.0000;188.6300;188.6300;10116
132;2023-11-15 18:45:00;AAPL;188.5200;189.6400;188.5100;189.0000;47698
133;2023-11-15 18:30:00;AAPL;188.3000;188.6000;188.2200;188.5100;17828
134;2023-11-15 18:15:00;AAPL;188.2050;188.3800;188.1100;188.3500;4192
135;2023-11-15 18:00:00;AAPL;188.0600;188.4000;188.0300;188.2050;12008
136;2023-11-15 17:45:00;AAPL;188.0900;188.1500;188.0200;188.0750;7649
137;2023-11-15 17:30:00;AAPL;188.0500;188.1400;180.3740;188.0600;6612
138;2023-11-15 17:15:00;AAPL;188.0500;198.1040;181.8560;188.0200;10737
139;2023-11-15 17:00:00;AAPL;188.1000;188.1800;188.0100;188.0600;168196
140;2023-11-15 16:45:00;AAPL;188.0800;188.1400;187.9400;188.1100;153106
141;2023-11-15 16:30:00;AAPL;188.1100;188.2000;183.3100;188.0500;82119
142;2023-11-15 16:15:00;AAPL;187.9500;188.1500;187.8400;188.1100;52987
143;2023-11-15 16:00:00;AAPL;188.1100;188.6000;187.8800;187.9500;17566086
144;2023-11-15 15:45:00;AAPL;188.1900;188.2300;187.7800;188.0900;4389391
145;2023-11-15 15:30:00;AAPL;188.2000;188.5600;188.1300;188.1900;1512609
146;2023-11-15 15:15:00;AAPL;188.2650;188.4500;187.9550;188.1950;1194924
147;2023-11-15 15:00:00;AAPL;188.3200;188.4400;188.0800;188.2700;982314
148;2023-11-15 14:45:00;AAPL;188.5600;188.5700;188.1700;188.3130;1085764
149;2023-11-15 14:30:00;AAPL;188.7700;188.7800;188.5000;188.5540;987920
150;2023-11-15 14:15:00;AAPL;188.7000;188.7900;188.4000;188.7700;1019265
151;2023-11-15 14:00:00;AAPL;188.9500;188.9600;188.7000;188.7000;805708
152;2023-11-15 13:45:00;AAPL;188.9150;189.0200;188.8450;188.9400;689534
153;2023-11-15 13:30:00;AAPL;189.0310;189.0800;188.8700;188.9150;812209
154;2023-11-15 13:15:00;AAPL;188.6010;189.0500;188.4800;189.0350;1083932
155;2023-11-15 13:00:00;AAPL;188.7900;188.9350;188.4650;188.6010;1311213
156;2023-11-15 12:45:00;AAPL;188.8200;189.0150;188.7200;188.8000;997434
157;2023-11-15 12:30:00;AAPL;189.1100;189.1700;188.7600;188.8200;772210
158;2023-11-15 12:15:00;AAPL;188.6800;189.1400;188.6200;189.1200;1339613
159;2023-11-15 12:00:00;AAPL;188.7600;188.9900;188.5300;188.6900;1182995
160;2023-11-15 11:45:00;AAPL;188.7400;188.9500;188.6100;188.7590;1256651
161;2023-11-15 11:30:00;AAPL;189.4150;189.4500;188.6800;188.7450;1545714
162;2023-11-15 11:15:00;AAPL;189.1350;189.5000;189.1200;189.4150;1651246
163;2023-11-15 11:00:00;AAPL;189.1750;189.4400;188.8800;189.1300;2231324
164;2023-11-15 10:45:00;AAPL;188.5500;189.2400;188.5450;189.1750;2575483
165;2023-11-15 10:30:00;AAPL;188.1600;188.5700;188.1100;188.5450;1593045
166;2023-11-15 10:15:00;AAPL;187.9950;188.3620;187.8500;188.1500;1857648
167;2023-11-15 10:00:00;AAPL;188.2250;188.2600;187.9100;188.0000;1703306
168;2023-11-15 09:45:00;AAPL;188.2550;188.6250;187.8300;188.2400;2343811
